"","CORES","race","YOB","deaths","births","COUNTY","mortality"
"1",1,"Black",2011,2,344,"ALAMANCE",5.81395348837209
"2",1,"Black",2012,10,358,"ALAMANCE",27.9329608938547
"3",1,"Black",2013,7,397,"ALAMANCE",17.632241813602
"4",1,"Black",2014,6,387,"ALAMANCE",15.5038759689922
"5",1,"Black",2015,7,393,"ALAMANCE",17.8117048346056
"6",1,"Black",2016,3,398,"ALAMANCE",7.53768844221105
"7",1,"Hispanic",2011,1,362,"ALAMANCE",2.76243093922652
"8",1,"Hispanic",2012,1,381,"ALAMANCE",2.6246719160105
"9",1,"Hispanic",2013,1,356,"ALAMANCE",2.80898876404494
"10",1,"Hispanic",2014,3,355,"ALAMANCE",8.45070422535211
"11",1,"Hispanic",2015,3,379,"ALAMANCE",7.9155672823219
"12",1,"Hispanic",2016,4,391,"ALAMANCE",10.230179028133
"13",1,"Other Non-White",2013,1,33,"ALAMANCE",30.3030303030303
"14",1,"White",2011,8,932,"ALAMANCE",8.58369098712446
"15",1,"White",2012,4,977,"ALAMANCE",4.09416581371546
"16",1,"White",2013,9,998,"ALAMANCE",9.01803607214429
"17",1,"White",2014,10,978,"ALAMANCE",10.2249488752556
"18",1,"White",2015,4,967,"ALAMANCE",4.13650465356774
"19",1,"White",2016,6,1018,"ALAMANCE",5.89390962671906
"20",10,"Black",2011,1,140,"BRUNSWICK",7.14285714285714
"21",10,"Black",2012,3,128,"BRUNSWICK",23.4375
"22",10,"Black",2013,1,144,"BRUNSWICK",6.94444444444444
"23",10,"Black",2014,1,131,"BRUNSWICK",7.63358778625954
"24",10,"Black",2016,2,131,"BRUNSWICK",15.2671755725191
"25",10,"Hispanic",2016,2,104,"BRUNSWICK",19.2307692307692
"26",10,"White",2011,7,795,"BRUNSWICK",8.80503144654088
"27",10,"White",2012,7,796,"BRUNSWICK",8.79396984924623
"28",10,"White",2013,7,749,"BRUNSWICK",9.34579439252336
"29",10,"White",2014,3,863,"BRUNSWICK",3.47624565469293
"30",10,"White",2015,2,784,"BRUNSWICK",2.55102040816327
"31",10,"White",2016,5,721,"BRUNSWICK",6.93481276005548
"32",100,"White",2011,3,146,"YANCEY ",20.5479452054795
"33",100,"White",2012,2,159,"YANCEY ",12.5786163522013
"34",100,"White",2015,1,156,"YANCEY ",6.41025641025641
"35",11,"Black",2011,1,199,"BUNCOMBE",5.0251256281407
"36",11,"Black",2012,1,218,"BUNCOMBE",4.58715596330275
"37",11,"Black",2013,5,223,"BUNCOMBE",22.4215246636771
"38",11,"Black",2014,6,214,"BUNCOMBE",28.0373831775701
"39",11,"Black",2015,4,201,"BUNCOMBE",19.9004975124378
"40",11,"Black",2016,2,198,"BUNCOMBE",10.1010101010101
